id, title, url, image, genre1, genre2, comment
1,,,1.jpg,shot,real,
1,,,2.jpg,shot,real,
3,,,3.jpg,shot,vrc,
4,,,4.JPG,shot,real,
5,,,5.JPG,shot,real,
6,,https://x.com/GuestSign/status/2007037493523399036?s=20,6.jpg,avator,reference,
7,,https://x.com/Goosesletter/status/2007165942158242026?s=20,7.jpg,illustration

"ながいよる(feat.somunia) [Saku Remix]",https://soundcloud.com/sakuogt/longnightremix,,,,,
【FREE DL】空奏列車(超絶最強美少女 Hardcore Bootleg),https://soundcloud.com/superultimategirl/kuusou,,,,,
"電音部, 大神 纏 (CV: 吉田凜音) feat. hirihiri & Yaca - Brickwall (ric3show3r Bootleg)",https://soundcloud.com/ric3show3r/cv-feat-hirihiri-yaca-brickwall-ric3show3r-bootleg,,,,,
Savedata 13,https://soundcloud.com/i5glkptvlhyz/savedata-13,最高です,,,,
□□□□□□□□,https://soundcloud.com/venjaminchord/venjaminchord02,かっけえやつ,,,,
https://www.youtube.com/watch?v=-xH_wmyWi5w,,,,,,
https://x.com/GuestSign/status/2007037493523399036?s=20,,,,,,
,music,,,,,
,book,,,,,
,design,,,,,
,shot,,,,,
,avator,,,,,
,,me,,,,
,,reference,,,,
,manga,,,,,
,make,,,,,
,anime,,,,,
,good,,,,,
,illustration,,,,,
